impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
132,"Marathahalli Bridge Service Road,  Purva Riviera",HAL Old Airport,0.77,458.0,Moderate,1,00:00 - 05:00,NO,MONITOR ONLY,458
133,"Sarjapura Main Road,  Kaikondrahalli",Bellandur,0.77,458.0,Routine,1,07:00 - 12:00,NO,MONITOR ONLY,458
134,"Bellahali Main Road,  Niranthara Layout",Yelahanka,0.76,452.0,Moderate,1,05:00 - 10:00,NO,MONITOR ONLY,452
135,"46th Cross Road,  Sangam Circle",Jayanagara,0.76,452.0,High,3,03:00 - 08:00,NO,MONITOR ONLY,452
136,"80 Feet Road,  MET Layout",Kodigehalli,0.74,440.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,440
137,"Jasma Devi Bhavan Road,  Rajiv Gandhi Colony",High ground,0.71,422.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,422
138,"Sri Sri Sri Tiruchi Mahaswamiji Road,  Gopalan Arcade",Byatarayanapura,0.7,416.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,416
139,"Hosur Road,  Salarpuria Sattva Alexandria Tech Park",Electronic City,0.7,416.0,Moderate,1,07:00 - 12:00,NO,MONITOR ONLY,416
140,"Dr Rajkumar Puniya Bhoomi Road,  FTI Junction",Rajajinagar,0.7,416.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,416
141,"Sarjapura Main Road,  Divyasree Elan Homes",Bellandur,0.68,405.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,405
142,"80 Feet Road,  Havanur Circle",Kamakshipalya,0.68,405.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,405
143,"4th Main Road,  Sri Basaveshwara HBCS",Byatarayanapura,0.66,393.0,High,2,10:00 - 15:00,NO,MONITOR ONLY,393
144,"80 Feet Road,  SBI Colony",Adugodi,0.65,387.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,387
145,"D Devaraj Urs Road,  Karnataka Bhavan Junction",Cubbon Park,0.65,387.0,Moderate,2,05:00 - 10:00,NO,MONITOR ONLY,387
146,"Bagaluru Main Road,  Niranthara Layout",Chikkajala,0.64,381.0,High,2,11:00 - 16:00,NO,MONITOR ONLY,381
147,"H Siddiah Road,  Narayanpura",Wilson Garden,0.63,375.0,High,3,06:00 - 11:00,NO,MONITOR ONLY,375
148,"Mysore Road,  Dr Ambedkar Nagar",Byatarayanapura,0.6,357.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,357
149,"Dr Vishwesha Teertha Swamy Gala Road,  Kathriguppe Circle",Banashankari,0.59,351.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,351
150,"Mumbai Bengaluru Highway,  Nagasandra",Chikkabanavara,0.59,351.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,351
151,"Old Mysore Road,  Block 4N",Sheshadripuram,0.59,351.0,Moderate,2,09:00 - 14:00,NO,MONITOR ONLY,351
152,"Unnamed Road,  Chikkanahalli North Taluka",Chikkajala,0.59,351.0,Routine,1,02:00 - 07:00,NO,MONITOR ONLY,351
153,"7th Cross Road,  Prakash Nagar",Rajajinagar,0.59,351.0,High,3,01:00 - 06:00,NO,MONITOR ONLY,351
154,"Da Ra Bendre Road,  Kirloskar Foundry",Rajajinagar,0.58,345.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,345
155,"Sarjapura Main Road,  Doddakannelli Circle",Bellandur,0.57,339.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,339
156,"Brigade Road,  Cauvery Junction",Cubbon Park,0.57,339.0,Moderate,1,10:00 - 15:00,NO,MONITOR ONLY,339
157,"MS Ramaiah Road,  Mattikere Layout",Yeshwanthpura,0.57,339.0,High,2,01:00 - 06:00,NO,MONITOR ONLY,339
158,"1st Main Road,  Lumos",Rajajinagar,0.57,339.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,339
159,"Subramanyapura Main Road,  Komarla Brigade Residency",K.S. Layout,0.57,339.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,339
160,"Millers Road,  BKM Gowda Circle",High ground,0.56,333.0,Moderate,2,07:00 - 12:00,NO,MONITOR ONLY,333
161,"Shri Ramalingeshwara Cave Temple Road,  Royal Meenakshi Mall",Hulimavu,0.55,327.0,Moderate,1,04:00 - 09:00,NO,MONITOR ONLY,327
162,"Memorial Road,  Sulthan Nagar",Pulikeshinagar(F.Town),0.54,321.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,321
163,"Konanakunte Main Road,  Banashankari Bus Stand Junction",Banashankari,0.54,321.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,321
164,"4th Main Road,  Chamrajpet 5th Main Junction",Chamarajpet,0.52,309.0,Critical,3,08:00 - 13:00,NO,MONITOR ONLY,309
165,"Magadi Main Road,  Hanumantharayan Palya",Kamakshipalya,0.51,303.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,303
166,"Banaswadi Main Road,  Prestige Woodland Park",Pulikeshinagar(F.Town),0.5,298.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,298
167,"8th Main Road,  Sri Vasavi Garden",Rajajinagar,0.49,292.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,292
168,"3rd Main Road,  Bashyam Circle",Sadashivanagar,0.48,286.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,286
169,"Bellary Road,  Bagalur Cross Junction",Yelahanka,0.48,286.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,286
170,"Jayamahal Main Road,  Munireddypalya",R.T. Nagar,0.47,280.0,Routine,1,00:00 - 04:00,NO,MONITOR ONLY,280
171,"Old Madras Road,  Tamarikannan Junction",Halasur,0.47,280.0,High,2,06:00 - 11:00,NO,MONITOR ONLY,280
172,"4th Main Road,  Nagappa Block",Sheshadripuram,0.45,268.0,Routine,1,07:00 - 12:00,NO,MONITOR ONLY,268
173,"East End A Main Road,  SRK Garden",Jayanagara,0.45,268.0,Critical,3,01:00 - 06:00,NO,MONITOR ONLY,268
174,"Hebbal Flyover,  Hebbal",Kodigehalli,0.44,262.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,262
175,"Anepalya Main Road,  Muthanna Garden",Ashok Nagar,0.43,256.0,Moderate,2,08:00 - 13:00,NO,MONITOR ONLY,256
176,"Alur Venkata Rao Road,  TP Kailasam Circle",V.V.Puram (C.Pet),0.43,256.0,Moderate,2,07:00 - 12:00,NO,MONITOR ONLY,256
177,"Hosur Road,  Janatha Colony",Electronic City,0.43,256.0,High,2,00:00 - 05:00,NO,MONITOR ONLY,256
178,"Muthsandra Main Road,  KSRTC Travel House Junction",Whitefield,0.43,256.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,256
179,"Sarjapura Main Road,  Kodathi Gate",Whitefield,0.43,256.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,256
180,"Begur Main Road,  Vivekananda Circle",Madiwala,0.42,250.0,High,2,10:00 - 15:00,NO,MONITOR ONLY,250
